[17/12/2009 21:25:11] /up
[17/12/2009 21:25:12] /up
[17/12/2009 21:25:35] /down
[17/12/2009 21:25:36] /down
[17/12/2009 21:25:39] /a 2
[17/12/2009 21:25:42] /a 2
[17/12/2009 21:26:57] /down
[17/12/2009 21:27:09] /up
[17/12/2009 21:27:12] /a 5
[17/12/2009 21:27:12] /a 5
[17/12/2009 21:27:13] /a 5
[17/12/2009 21:27:13] /a 5
[17/12/2009 21:27:14] /a 5
[17/12/2009 21:27:15] /a 5
[17/12/2009 21:27:16] /a 5
[17/12/2009 21:27:18] /a 5
[17/12/2009 21:27:18] /a 5
[17/12/2009 21:27:19] /a 5
[17/12/2009 21:27:19] /a 5
[17/12/2009 21:27:20] /a 5
[17/12/2009 21:27:33] /down
[17/12/2009 21:28:24] /a 5
[17/12/2009 21:28:30] /a 5
[17/12/2009 21:29:12] /a 5
[17/12/2009 21:29:13] /a 5
[17/12/2009 21:29:14] /a 5
[17/12/2009 21:29:27] /a 2
[17/12/2009 21:29:38] /down
[17/12/2009 21:29:44] /a 2
[17/12/2009 21:30:07] /t
[17/12/2009 21:32:22] /a 2
[17/12/2009 21:33:14] /t
[06/02/2010 10:52:00] /a 2
[06/02/2010 10:52:02] /a 1
[06/02/2010 10:52:03] /a 1
[06/02/2010 10:52:03] /a 1
[06/02/2010 10:52:03] /a 1
[06/02/2010 10:52:03] /a 5
[06/02/2010 10:52:04] /a 5
[06/02/2010 10:52:04] /a 5
[06/02/2010 10:52:04] /a 5
[06/02/2010 10:52:04] /a 5
[06/02/2010 10:52:04] /a 5
[06/02/2010 10:52:04] /a 5
[06/02/2010 10:52:04] /a 5
[06/02/2010 10:52:05] /a 5
[06/02/2010 10:52:05] /a 5
[06/02/2010 10:52:05] /a 5
[06/02/2010 10:52:06] /a 5
[06/02/2010 10:52:06] /a 5
[06/02/2010 10:52:06] /a 5
[06/02/2010 10:52:06] /a 5
[06/02/2010 10:52:06] /a 5
[06/02/2010 10:52:06] /a 5
[06/02/2010 10:52:07] /a 5
[06/02/2010 10:52:21] /a 5
[06/02/2010 10:52:21] /a 10
[06/02/2010 10:52:21] /a 10
[06/02/2010 10:52:22] /a 10
[06/02/2010 10:52:22] /a 10
[06/02/2010 10:52:22] /a 10
[06/02/2010 10:52:22] /a 10
[06/02/2010 10:52:23] /a 10
[06/02/2010 10:52:23] /a 10
[06/02/2010 10:52:23] /a 10
[06/02/2010 10:52:23] /a 10
[06/02/2010 10:52:24] /a 10
[06/02/2010 10:52:24] /a 10
[06/02/2010 10:52:25] /a 10
[06/02/2010 10:52:25] /a 10
[06/02/2010 10:52:25] /a 10
[06/02/2010 10:52:26] /a 10
[06/02/2010 10:52:26] /a 10
[06/02/2010 10:52:26] /a 10
[06/02/2010 10:52:27] /a 10
[06/02/2010 10:52:27] /a 10
[06/02/2010 10:52:27] /a 10
[06/02/2010 10:52:27] /a 10
[06/02/2010 10:52:28] /a 10
[06/02/2010 10:52:28] /a 10
[06/02/2010 10:52:29] /a 10
[06/02/2010 10:52:29] /a 10
[06/02/2010 10:52:30] /a 10
[06/02/2010 10:52:30] /a 10
[06/02/2010 10:52:31] /a 10
[06/02/2010 10:52:32] /a 10
[06/02/2010 10:52:33] /a 10
[06/02/2010 10:52:33] /a 10
[06/02/2010 10:52:33] /a 10
[06/02/2010 10:52:33] /a 10
[06/02/2010 10:52:33] /a 10
[06/02/2010 10:52:34] /a 10
[06/02/2010 10:52:34] /a 10
[06/02/2010 10:52:34] /a 10
[06/02/2010 10:52:35] /a 10
[06/02/2010 10:52:35] /a 10
[06/02/2010 10:52:35] /a 10
[06/02/2010 10:52:36] /a 10
[06/02/2010 10:52:40] /a 10
[06/02/2010 10:52:40] /a 10
[06/02/2010 10:52:41] /a 10
[06/02/2010 10:52:41] /a 10
[06/02/2010 10:52:42] /a 10
[06/02/2010 10:52:42] /a 10
[06/02/2010 10:52:43] /a 10
[06/02/2010 10:52:43] /a 10
[06/02/2010 10:52:43] /a 10
[06/02/2010 10:52:44] /a 10
[06/02/2010 10:52:44] /a 10
[06/02/2010 10:52:44] /a 10
[06/02/2010 10:52:45] /a 10
[06/02/2010 10:52:45] /a 10
[06/02/2010 10:52:45] /a 10
[06/02/2010 10:52:46] /a 10
[06/02/2010 10:52:46] /a 10
[06/02/2010 10:52:46] /a 10
[06/02/2010 10:52:47] /a 10
[06/02/2010 10:52:47] /a 10
[06/02/2010 10:52:48] /a 10
[06/02/2010 10:52:48] /a 10
[06/02/2010 10:52:49] /a 10
[06/02/2010 10:52:49] /a 10
[06/02/2010 10:52:49] /a 10
[06/02/2010 10:52:49] /a 10
[06/02/2010 10:52:49] /a 10
[06/02/2010 10:52:50] /a 10
[06/02/2010 10:52:50] /a 10
[06/02/2010 10:52:50] /a 10
[06/02/2010 10:52:50] /a 10
[06/02/2010 10:52:51] /a 10
[06/02/2010 10:52:51] /a 10
[06/02/2010 10:52:51] /a 10
[06/02/2010 10:52:51] /a 10
[06/02/2010 10:52:53] /a 10
[06/02/2010 10:52:54] /a 10
[06/02/2010 10:52:57] /a 10
[06/02/2010 10:52:57] /a 10
[06/02/2010 10:52:59] /a 10
[06/02/2010 10:52:59] /a 10
[06/02/2010 10:52:59] /a 10
[06/02/2010 10:53:00] /a 10
[06/02/2010 10:53:01] /a 10
[06/02/2010 10:53:03] /a 10
[06/02/2010 10:53:03] /a 10
[06/02/2010 10:53:03] /a 10
[06/02/2010 10:53:04] /a 10
[06/02/2010 10:53:05] /a 10
[06/02/2010 10:53:06] /a 10
[06/02/2010 10:53:06] /a 10
[06/02/2010 10:53:07] /a 10
[06/02/2010 10:53:08] /a 10
[06/02/2010 10:53:08] /a 10
[06/02/2010 10:53:09] /a 10
[06/02/2010 10:53:09] /a 10
[06/02/2010 10:53:10] /a 10
[06/02/2010 10:53:10] /a 10
[06/02/2010 10:53:11] /a 10
[06/02/2010 10:53:11] /a 10
[06/02/2010 10:53:12] /a 10
[06/02/2010 10:53:13] /a 10
[06/02/2010 10:53:13] /a 10
[06/02/2010 10:53:16] /a 10
[06/02/2010 11:01:53] /t
[06/02/2010 11:02:00] /a 5
[06/02/2010 11:02:01] /a 5
[06/02/2010 11:02:01] /a 5
[06/02/2010 11:02:02] /a 5
[06/02/2010 11:02:02] /a 5
[06/02/2010 11:02:03] /a 5
[06/02/2010 11:02:03] /a 5
[06/02/2010 11:02:03] /a 5
[06/02/2010 11:02:04] /a 5
[06/02/2010 11:02:04] /a 5
[06/02/2010 11:02:05] /a 5
[06/02/2010 11:02:05] /a 5
[06/02/2010 11:02:06] /a 5
[06/02/2010 11:02:07] /a 10
[06/02/2010 11:02:07] /a 10
[06/02/2010 11:02:07] /a 10
[06/02/2010 11:02:07] /a 10
[06/02/2010 11:02:07] /a 10
[06/02/2010 11:02:07] /a 10
[06/02/2010 11:02:08] /a 10
[06/02/2010 11:02:09] /a 10
[06/02/2010 11:02:10] /a 10
[06/02/2010 11:02:10] /a 10
[06/02/2010 11:02:11] /a 10
[06/02/2010 11:02:11] /a 10
[06/02/2010 11:02:11] /a 10
[06/02/2010 11:02:12] /a 10
[06/02/2010 11:02:12] /a 10
[06/02/2010 11:02:13] /a 10
[06/02/2010 11:02:23] /t
[06/02/2010 11:02:25] /a 10
[06/02/2010 11:02:25] /a 10
[06/02/2010 11:02:25] /a 10
[06/02/2010 11:02:25] /a 10
[06/02/2010 11:02:26] /a 10
[06/02/2010 11:02:26] /a 10
[06/02/2010 11:02:26] /a 10
[06/02/2010 11:02:26] /a 10
[06/02/2010 11:02:26] /a 10
[06/02/2010 11:02:27] /a 10
[06/02/2010 11:02:28] /a 10
[06/02/2010 11:02:28] /a 10
[06/02/2010 11:02:28] /a 10
[06/02/2010 11:02:29] /a 10
[06/02/2010 11:02:29] /a 10
[06/02/2010 11:02:29] /a 10
[06/02/2010 11:02:29] /a 10
[06/02/2010 11:02:30] /a 10
[06/02/2010 11:02:30] /a 10
[06/02/2010 11:02:30] /a 10
[06/02/2010 11:02:30] /a 10
[06/02/2010 11:02:31] /a 10
[06/02/2010 11:02:31] /a 10
[06/02/2010 11:02:31] /a 10
[06/02/2010 11:02:32] /a 10
[06/02/2010 11:02:32] /a 10
[06/02/2010 11:02:33] /a 10
[06/02/2010 11:02:33] /a 10
[06/02/2010 11:02:33] /a 10
[06/02/2010 11:02:34] /a 10
[06/02/2010 11:02:34] /a 10
[06/02/2010 11:02:35] /a 10
[06/02/2010 11:02:36] /a 10
[06/02/2010 11:02:36] /a 10
[06/02/2010 11:02:39] /a 10
[06/02/2010 11:02:42] /up
[06/02/2010 11:02:42] /up
[06/02/2010 11:02:46] /up
[06/02/2010 11:03:06] /a 10
[06/02/2010 11:03:07] /a 10
[06/02/2010 11:03:09] /a 10
[06/02/2010 11:03:10] /a 10
[06/02/2010 11:03:11] /a 10
[06/02/2010 11:03:11] /a 10
[06/02/2010 11:03:11] /a 10
[06/02/2010 11:03:12] /a 10
[06/02/2010 11:03:13] /a 5
[06/02/2010 11:03:14] /a 5
[06/02/2010 11:03:15] /a 5
[06/02/2010 11:03:15] /a 5
[06/02/2010 11:03:16] /a 5
[06/02/2010 11:03:17] /a 5
[06/02/2010 11:03:17] /a 5
[06/02/2010 11:03:18] /a 5
[06/02/2010 11:03:19] /a 5
[06/02/2010 11:03:20] /a 5
[06/02/2010 11:03:20] /a 5
[06/02/2010 11:03:21] /a 5
[06/02/2010 11:03:22] /a 5
[06/02/2010 11:03:22] /a 5
[06/02/2010 11:03:23] /a 5
[06/02/2010 11:03:23] /a 5
[06/02/2010 11:03:23] /a 5
[06/02/2010 11:03:24] /a 5
[06/02/2010 11:03:25] /a 5
[06/02/2010 11:03:25] /a 5
[06/02/2010 11:03:25] /a 5
[06/02/2010 11:03:26] /a 5
[06/02/2010 11:03:26] /a 5
[06/02/2010 11:03:27] /a 5
[06/02/2010 11:03:27] /a 5
